time_dev,time_prod,column,value_dev,value_prod,diff
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,demand_total_active_power,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,i2,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,i3,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,u12,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,u23,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,u13,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,v1,231.3999938964844,0.0,231.3999938964844
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,v2,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,v3,,0.0,
2024-02-12 16:00:00.001248,2024-02-12 16:00:01,total_power_factor,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,demand_total_active_power,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,i2,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,i3,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,u12,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,u23,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,u13,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,v1,231.5,0.0,231.5
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,v2,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,v3,,0.0,
2024-02-12 16:00:02.001569,2024-02-12 16:00:03,total_power_factor,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,demand_total_active_power,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,i2,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,i3,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,u12,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,u23,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,u13,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,v1,231.5,0.0,231.5
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,v2,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,v3,,0.0,
2024-02-12 16:00:04.000326,2024-02-12 16:00:05,total_power_factor,,0.0,
2024-02-12 16:00:06.001488,2024-02-12 16:00:07,demand_total_active_power,,0.0,
2024-02-12 16:00:06.001488,2024-02-12 16:00:07,i2,,0.0,
