demand_total_active_power_dev,demand_total_active_power_prod,device_dev,device_prod,energy_dev,energy_prod,i1_dev,i1_prod,i2_dev,i2_prod,i3_dev,i3_prod,maximum_demand_total_active_power_dev,maximum_demand_total_active_power_prod,time_dev,time_prod,total_active_power_dev,total_active_power_prod,total_apparent_power_dev,total_apparent_power_prod,total_power_factor_dev,total_power_factor_prod,u12_dev,u12_prod,u13_dev,u13_prod,u23_dev,u23_prod,v1_dev,v1_prod,v2_dev,v2_prod,v3_dev,v3_prod
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:00.001248,2024-02-12 16:00:01,72.0,72.0,78.0,78.0,0.9300000071525574,0.93,,,,,,,231.5,231.5,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:02.001569,2024-02-12 16:00:03,72.0,72.0,78.0,76.0,0.9300000071525574,0.93,,,,,,,231.5,231.5,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:04.000326,2024-02-12 16:00:05,72.0,72.0,76.0,76.0,0.9300000071525574,0.93,,,,,,,231.5,231.5,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:06.001488,2024-02-12 16:00:07,72.0,72.0,76.0,76.0,0.9300000071525574,0.93,,,,,,,231.5,231.5,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:08.000475,2024-02-12 16:00:09,72.0,72.0,76.0,78.0,0.9300000071525574,0.94,,,,,,,231.5,231.600006,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:10.001661,2024-02-12 16:00:11,72.0,72.0,78.0,78.0,0.9399999976158142,0.94,,,,,,,231.6000061035156,231.600006,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3300000131130218,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:12.000238,2024-02-12 16:00:13,72.0,72.0,78.0,78.0,0.9399999976158142,0.94,,,,,,,231.6000061035156,231.699997,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:14.000292,2024-02-12 16:00:15,72.0,72.0,78.0,78.0,0.9399999976158142,0.94,,,,,,,231.6999969482422,231.699997,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.824,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:16.000238,2024-02-12 16:00:17,72.0,72.0,78.0,78.0,0.9399999976158142,0.94,,,,,,,231.6999969482422,231.699997,,,,
,,Led rasvjeta,Led rasvjeta,394824,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:18.000391,2024-02-12 16:00:19,72.0,73.0,78.0,77.0,0.9399999976158142,0.91,,,,,,,231.6999969482422,231.600006,,,,
,,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:20.001035,2024-02-12 16:00:21,73.0,73.0,77.0,77.0,0.9100000262260436,0.91,,,,,,,231.6000061035156,231.600006,,,,
,,Led rasvjeta,,394825,,0.3400000035762787,,,,,,74.29997253417969,,2024-02-12 16:00:22.001294,,73.0,,77.0,,0.9100000262260436,,,,,,,,231.6000061035156,,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:24.000920,2024-02-12 16:00:24,73.0,73.0,79.0,79.0,0.9200000166893004,0.92,,,,,,,231.6000061035156,231.600006,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:26.001037,2024-02-12 16:00:26,73.0,73.0,79.0,79.0,0.9200000166893004,0.92,,,,,,,231.6000061035156,231.600006,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:28.000624,2024-02-12 16:00:28,73.0,73.0,79.0,79.0,0.9200000166893004,0.92,,,,,,,231.6000061035156,231.600006,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3499999940395355,0.35,,,,,74.29997253417969,74.299973,2024-02-12 16:00:30.001035,2024-02-12 16:00:30,72.0,72.0,76.0,76.0,0.8899999856948853,0.89,,,,,,,231.6999969482422,231.699997,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3499999940395355,0.35,,,,,74.29997253417969,74.299973,2024-02-12 16:00:32.001348,2024-02-12 16:00:32,72.0,72.0,76.0,76.0,0.8899999856948853,0.89,,,,,,,231.6999969482422,231.699997,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:34.000822,2024-02-12 16:00:34,73.0,73.0,81.0,81.0,0.8999999761581421,0.9,,,,,,,231.8999938964844,231.899994,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:36.002189,2024-02-12 16:00:36,73.0,73.0,81.0,81.0,0.8999999761581421,0.9,,,,,,,231.8999938964844,231.899994,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:38.002048,2024-02-12 16:00:38,73.0,72.0,81.0,78.0,0.8999999761581421,0.92,,,,,,,231.8999938964844,231.899994,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:40.000592,2024-02-12 16:00:40,72.0,72.0,78.0,78.0,0.9200000166893004,0.92,,,,,,,231.8999938964844,231.899994,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:42.001818,2024-02-12 16:00:42,72.0,72.0,78.0,78.0,0.9200000166893004,0.92,,,,,,,231.8999938964844,231.899994,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:44.000604,2024-02-12 16:00:44,72.0,72.0,78.0,78.0,0.9200000166893004,0.92,,,,,,,231.8999938964844,231.899994,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:00:46.002319,2024-02-12 16:00:46,72.0,72.0,78.0,78.0,0.9200000166893004,0.92,,,,,,,231.8999938964844,231.899994,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:48.000037,2024-02-12 16:00:48,72.0,72.0,78.0,77.0,0.9200000166893004,0.94,,,,,,,231.8999938964844,231.800003,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:50.000928,2024-02-12 16:00:51,72.0,72.0,77.0,77.0,0.9399999976158142,0.94,,,,,,,231.8000030517578,231.800003,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:52.000630,2024-02-12 16:00:53,72.0,72.0,77.0,77.0,0.9399999976158142,0.94,,,,,,,231.8000030517578,231.800003,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:54.000458,2024-02-12 16:00:55,72.0,72.0,78.0,78.0,0.9300000071525574,0.93,,,,,,,231.8000030517578,231.800003,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:56.000259,2024-02-12 16:00:57,72.0,72.0,78.0,78.0,0.9300000071525574,0.93,,,,,,,231.8000030517578,231.800003,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:00:58.000420,2024-02-12 16:00:59,72.0,72.0,78.0,77.0,0.9300000071525574,0.92,,,,,,,231.8000030517578,231.800003,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:01:00.000126,2024-02-12 16:01:01,72.0,72.0,77.0,77.0,0.9200000166893004,0.92,,,,,,,231.8000030517578,231.800003,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:01:02.000537,2024-02-12 16:01:03,72.0,72.0,77.0,78.0,0.9200000166893004,0.94,,,,,,,231.8000030517578,232.0,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:01:04.002108,2024-02-12 16:01:05,72.0,72.0,78.0,78.0,0.9399999976158142,0.94,,,,,,,232.0,232.0,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.33,,,,,74.29997253417969,74.299973,2024-02-12 16:01:06.002082,2024-02-12 16:01:07,72.0,72.0,78.0,78.0,0.9399999976158142,0.94,,,,,,,232.0,232.0,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3300000131130218,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:01:08.002102,2024-02-12 16:01:09,72.0,73.0,78.0,77.0,0.9399999976158142,0.91,,,,,,,232.0,232.100006,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:01:10.000470,2024-02-12 16:01:11,73.0,73.0,77.0,77.0,0.9100000262260436,0.91,,,,,,,232.1000061035156,232.100006,,,,
72.44999694824219,72.449997,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:01:12.000637,2024-02-12 16:01:13,73.0,73.0,77.0,78.0,0.9100000262260436,0.91,,,,,,,232.1000061035156,232.100006,,,,
72.44999694824219,72.46666,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:01:14.000982,2024-02-12 16:01:15,73.0,73.0,78.0,78.0,0.9100000262260436,0.91,,,,,,,232.1000061035156,232.100006,,,,
72.46665954589844,72.46666,Led rasvjeta,Led rasvjeta,394825,394.825,0.3400000035762787,0.34,,,,,74.29997253417969,74.299973,2024-02-12 16:01:16.000468,2024-02-12 16:01:17,73.0,73.0,78.0,78.0,0.9100000262260436,0.91,,,,,,,232.1000061035156,232.100006,,,,
