demand_total_active_power_dev,demand_total_active_power_prod,device_dev,device_prod,energy_dev,energy_prod,i1_dev,i1_prod,i2_dev,i2_prod,i3_dev,i3_prod,maximum_demand_total_active_power_dev,maximum_demand_total_active_power_prod,time_dev,time_prod,total_active_power_dev,total_active_power_prod,total_apparent_power_dev,total_apparent_power_prod,total_power_factor_dev,total_power_factor_prod,u12_dev,u12_prod,u13_dev,u13_prod,u23_dev,u23_prod,v1_dev,v1_prod,v2_dev,v2_prod,v3_dev,v3_prod
1940.9664306640625,1940.966431,Perilica posuda,Perilica posuda,1654403,1654.403,8.350000381469727,8.35,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:00.001248,2024-02-12 16:00:01,1935.0,1935.0,1937.0,1937.0,0.9900000095367432,0.99,,,,,,,231.3000030517578,231.300003,,,,
1940.9664306640625,1940.883179,Perilica posuda,Perilica posuda,1654403,1654.403,8.350000381469727,8.34,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:02.001569,2024-02-12 16:00:03,1935.0,1927.0,1937.0,1928.0,0.9900000095367432,0.99,,,,,,,231.3000030517578,231.5,,,,
1940.8831787109373,1940.883179,Perilica posuda,Perilica posuda,1654403,1654.403,8.350000381469727,8.34,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:04.000326,2024-02-12 16:00:05,1935.0,1927.0,1937.0,1928.0,0.9900000095367432,0.99,,,,,,,231.3000030517578,231.5,,,,
1940.8831787109373,1940.883179,Perilica posuda,Perilica posuda,1654403,1654.403,8.34000015258789,8.34,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:06.001488,2024-02-12 16:00:07,1927.0,1927.0,1928.0,1928.0,0.9900000095367432,0.99,,,,,,,231.5,231.5,,,,
1940.8831787109373,1940.883179,Perilica posuda,Perilica posuda,1654403,1654.419,8.34000015258789,8.41,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:08.000475,2024-02-12 16:00:09,1927.0,1946.0,1928.0,1948.0,0.9900000095367432,0.99,,,,,,,231.5,231.399994,,,,
1940.8831787109373,1940.883179,Perilica posuda,Perilica posuda,1654419,1654.419,8.40999984741211,8.41,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:10.001661,2024-02-12 16:00:11,1946.0,1946.0,1948.0,1948.0,0.9900000095367432,0.99,,,,,,,231.3999938964844,231.399994,,,,
1940.8831787109373,1940.966431,Perilica posuda,Perilica posuda,1654419,1654.419,8.40999984741211,8.43,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:12.000238,2024-02-12 16:00:13,1946.0,1948.0,1948.0,1951.0,0.9900000095367432,0.99,,,,,,,231.3999938964844,231.399994,,,,
1940.9664306640625,1940.966431,Perilica posuda,Perilica posuda,1654419,1654.419,8.40999984741211,8.43,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:14.000292,2024-02-12 16:00:15,1946.0,1948.0,1948.0,1951.0,0.9900000095367432,0.99,,,,,,,231.3999938964844,231.399994,,,,
1940.9664306640625,1940.966431,Perilica posuda,Perilica posuda,1654419,1654.419,8.430000305175781,8.43,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:16.000238,2024-02-12 16:00:17,1948.0,1948.0,1951.0,1951.0,0.9900000095367432,0.99,,,,,,,231.3999938964844,231.399994,,,,
1940.9664306640625,1940.966431,Perilica posuda,Perilica posuda,1654419,1654.419,8.430000305175781,8.43,,,,,2004.4169921875,2004.416992,2024-02-12 16:00:18.000391,2024-02-12 16:00:19,1948.0,1948.0,1951.0,1950.0,0.9900000095367432,0.99,,,,,,,231.3999938964844,231.199997,,,,
