id,time,energy,total_active_power,demand_total_active_power,maximum_demand_total_active_power,i1,i2,i3,u12,u23,u13,v1,v2,v3,device,total_power_factor,total_apparent_power
506758449,2024-02-12 16:09:58.000000,10638.333,0,288.166687,38795.0625,0,0,0,400.600006,401.200012,400.100006,NaN,NaN,NaN,Aparat za kavu,NaN,0
506758450,2024-02-12 16:09:58.000000,26.857,0,0,568.866638,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Perilica rublja,NaN,0
506758451,2024-02-12 16:09:58.000000,0.098,0,0,16.983335,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Uticnice,NaN,0
506758452,2024-02-12 16:09:58.000000,3.975,0,0,277.866699,0,NaN,NaN,NaN,NaN,NaN,230.899994,NaN,NaN,Napa,NaN,0
506758453,2024-02-12 16:09:58.000000,132.807,0,0,1511.249878,0,NaN,NaN,NaN,NaN,NaN,231.199997,NaN,NaN,Mikrovalna,NaN,0
506758454,2024-02-12 16:09:58.000000,480.71,0,0,239.783386,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Rasvjeta,NaN,0
506758455,2024-02-12 16:09:58.000000,2536.558,0,0,1476.183105,0,NaN,NaN,NaN,NaN,NaN,231.100006,NaN,NaN,Podno grijanje,NaN,0
506758456,2024-02-12 16:09:58.000000,0.215,0,0,35.633331,0,NaN,NaN,NaN,NaN,NaN,230.399994,NaN,NaN,Rolete,NaN,0
506758457,2024-02-12 16:09:58.000000,0.302,0,0,526.216675,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Drobilica,NaN,0
506758458,2024-02-12 16:09:58.000000,89.715,0,0,262.983521,0,NaN,NaN,NaN,NaN,NaN,231.100006,NaN,NaN,Uticnice,NaN,0
506758459,2024-02-12 16:09:58.000000,1537,0,0,1505.283325,0,NaN,NaN,NaN,NaN,NaN,231,NaN,NaN,Elektricni bojler,NaN,0
506758460,2024-02-12 16:09:58.000000,2051.27,0,0,1483.25,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Podno grijanje,NaN,0
506758461,2024-02-12 16:09:58.000000,80.599,0,0,38242.234375,0,0,0,400.600006,401.200012,400.299988,NaN,NaN,NaN,Štednjak,NaN,0
506758462,2024-02-12 16:09:58.000000,111.474,10,10.316664,891.249878,0.3,NaN,NaN,NaN,NaN,NaN,230.699997,NaN,NaN,Uticnice,0.15,71
506758463,2024-02-12 16:09:58.000000,3751.683,131,85.26667,756.783264,0.87,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Frizider,0.65,199
506758464,2024-02-12 16:09:58.000000,25.928,0,0,1278.583252,0,NaN,NaN,NaN,NaN,NaN,232.199997,NaN,NaN,Uticnice,NaN,0
506758465,2024-02-12 16:09:58.000000,34.328,0,0,2808.583496,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Pecnica,NaN,0
506758466,2024-02-12 16:09:58.000000,220.209,0,NaN,238.933395,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Rasvjeta,NaN,0
506758467,2024-02-12 16:09:58.000000,970.826,0,NaN,2396.766846,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Klima,NaN,0
506758468,2024-02-12 16:09:58.000000,1654.583,14,1046.883301,2004.416992,0.09,NaN,NaN,NaN,NaN,NaN,232.300003,NaN,NaN,Perilica posuda,0.61,28
506758469,2024-02-12 16:09:58.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,Rasvjeta,0,0
506758470,2024-02-12 16:09:58.000000,31.593,0,0,2136.75,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Susilica rublja,NaN,0
506758471,2024-02-12 16:09:58.000000,394.836,72,72.616669,74.299973,0.35,NaN,NaN,NaN,NaN,NaN,231.5,NaN,NaN,Led rasvjeta,0.89,76
506758472,2024-02-12 16:09:58.000000,9.556,0,0,856.599915,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Uticnica,NaN,0
506758473,2024-02-12 16:09:58.000000,11.049,0,0,598.799988,0,NaN,NaN,NaN,NaN,NaN,230.800003,NaN,NaN,Uticnica,NaN,0
506758424,2024-02-12 16:09:56.000000,10638.333,0,288.166687,38795.0625,0,0,0,400.600006,401.200012,400.100006,NaN,NaN,NaN,Aparat za kavu,NaN,0
506758425,2024-02-12 16:09:56.000000,26.857,0,0,568.866638,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Perilica rublja,NaN,0
506758426,2024-02-12 16:09:56.000000,0.098,0,0,16.983335,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Uticnice,NaN,0
506758427,2024-02-12 16:09:56.000000,3.975,0,0,277.866699,0,NaN,NaN,NaN,NaN,NaN,230.899994,NaN,NaN,Napa,NaN,0
506758428,2024-02-12 16:09:56.000000,132.807,0,0,1511.249878,0,NaN,NaN,NaN,NaN,NaN,231.199997,NaN,NaN,Mikrovalna,NaN,0
506758429,2024-02-12 16:09:56.000000,480.71,0,0,239.783386,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Rasvjeta,NaN,0
506758430,2024-02-12 16:09:56.000000,2536.558,0,0,1476.183105,0,NaN,NaN,NaN,NaN,NaN,231.100006,NaN,NaN,Podno grijanje,NaN,0
506758431,2024-02-12 16:09:56.000000,0.215,0,0,35.633331,0,NaN,NaN,NaN,NaN,NaN,230.399994,NaN,NaN,Rolete,NaN,0
506758432,2024-02-12 16:09:56.000000,0.302,0,0,526.216675,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Drobilica,NaN,0
506758433,2024-02-12 16:09:56.000000,89.715,0,0,262.983521,0,NaN,NaN,NaN,NaN,NaN,231.100006,NaN,NaN,Uticnice,NaN,0
506758434,2024-02-12 16:09:56.000000,1537,0,0,1505.283325,0,NaN,NaN,NaN,NaN,NaN,231,NaN,NaN,Elektricni bojler,NaN,0
506758435,2024-02-12 16:09:56.000000,2051.27,0,0,1483.25,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Podno grijanje,NaN,0
506758436,2024-02-12 16:09:56.000000,80.599,0,0,38242.234375,0,0,0,400.600006,401.200012,400.299988,NaN,NaN,NaN,Štednjak,NaN,0
506758437,2024-02-12 16:09:56.000000,111.474,10,10.316664,891.249878,0.3,NaN,NaN,NaN,NaN,NaN,230.699997,NaN,NaN,Uticnice,0.15,71
506758438,2024-02-12 16:09:56.000000,3751.683,131,85.26667,756.783264,0.87,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Frizider,0.65,199
506758439,2024-02-12 16:09:56.000000,25.928,0,0,1278.583252,0,NaN,NaN,NaN,NaN,NaN,232.300003,NaN,NaN,Uticnice,NaN,0
506758440,2024-02-12 16:09:56.000000,34.328,0,0,2808.583496,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Pecnica,NaN,0
506758441,2024-02-12 16:09:56.000000,220.209,0,NaN,238.933395,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Rasvjeta,NaN,0
506758442,2024-02-12 16:09:56.000000,970.826,0,NaN,2396.766846,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Klima,NaN,0
506758443,2024-02-12 16:09:56.000000,1654.583,14,1046.883301,2004.416992,0.1,NaN,NaN,NaN,NaN,NaN,232.5,NaN,NaN,Perilica posuda,0.59,23
506758444,2024-02-12 16:09:56.000000,0,0,0,0,0,0,0,0,0,0,0,0,0,Rasvjeta,0,0
506758445,2024-02-12 16:09:56.000000,31.593,0,0,2136.75,0,NaN,NaN,NaN,NaN,NaN,230.5,NaN,NaN,Susilica rublja,NaN,0
506758446,2024-02-12 16:09:56.000000,394.836,72,72.616669,74.299973,0.34,NaN,NaN,NaN,NaN,NaN,231.100006,NaN,NaN,Led rasvjeta,0.92,84
506758447,2024-02-12 16:09:56.000000,9.556,0,0,856.599915,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Uticnica,NaN,0
506758448,2024-02-12 16:09:56.000000,11.049,0,0,598.799988,0,NaN,NaN,NaN,NaN,NaN,230.800003,NaN,NaN,Uticnica,NaN,0
506758399,2024-02-12 16:09:54.000000,10638.333,0,288.166687,38795.0625,0,0,0,400.799988,401.299988,400.200012,NaN,NaN,NaN,Aparat za kavu,NaN,0
506758400,2024-02-12 16:09:54.000000,26.857,0,0,568.866638,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Perilica rublja,NaN,0
506758401,2024-02-12 16:09:54.000000,0.098,0,0,16.983335,0,NaN,NaN,NaN,NaN,NaN,230.600006,NaN,NaN,Uticnice,NaN,0
506758402,2024-02-12 16:09:54.000000,3.975,0,0,277.866699,0,NaN,NaN,NaN,NaN,NaN,230.899994,NaN,NaN,Napa,NaN,0
506758403,2024-02-12 16:09:54.000000,132.807,0,0,1511.249878,0,NaN,NaN,NaN,NaN,NaN,231.199997,NaN,NaN,Mikrovalna,NaN,0
506758404,2024-02-12 16:09:54.000000,480.71,0,0,239.783386,0,NaN,NaN,NaN,NaN,NaN,232.399994,NaN,NaN,Rasvjeta,NaN,0
506758405,2024-02-12 16:09:54.000000,2536.558,0,0,1476.183105,0,NaN,NaN,NaN,NaN,NaN,231.100006,NaN,NaN,Podno grijanje,NaN,0
506758406,2024-02-12 16:09:54.000000,0.215,0,0,35.633331,0,NaN,NaN,NaN,NaN,NaN,230.399994,NaN,NaN,Rolete,NaN,0
