id,time,energy,total_active_power,demand_total_active_power,maximum_demand_total_active_power,i1,i2,i3,u12,u23,u13,v1,v2,v3,device,total_power_factor,total_apparent_power
506758463,2024-02-12 16:09:58,3751.683,131.0,85.26667,756.783264,0.87,,,,,,230.5,,,Frizider,0.65,199.0
506758438,2024-02-12 16:09:56,3751.683,131.0,85.26667,756.783264,0.87,,,,,,230.5,,,Frizider,0.65,199.0
506758413,2024-02-12 16:09:54,3751.683,130.0,85.26667,756.783264,0.87,,,,,,230.5,,,Frizider,0.65,200.0
506758388,2024-02-12 16:09:51,3751.683,130.0,85.26667,756.783264,0.87,,,,,,230.5,,,Frizider,0.65,200.0
506758363,2024-02-12 16:09:49,3751.683,130.0,85.26667,756.783264,0.87,,,,,,230.5,,,Frizider,0.65,200.0
506758338,2024-02-12 16:09:47,3751.683,130.0,83.099998,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,200.0
506758313,2024-02-12 16:09:45,3751.683,130.0,83.099998,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,200.0
506758288,2024-02-12 16:09:43,3751.683,131.0,83.099998,756.783264,0.86,,,,,,230.100006,,,Frizider,0.65,199.0
506758263,2024-02-12 16:09:41,3751.683,131.0,83.099998,756.783264,0.86,,,,,,230.100006,,,Frizider,0.65,199.0
506758238,2024-02-12 16:09:39,3751.683,131.0,83.099998,756.783264,0.86,,,,,,230.100006,,,Frizider,0.65,199.0
506758213,2024-02-12 16:09:37,3751.683,131.0,80.916664,756.783264,0.87,,,,,,230.0,,,Frizider,0.65,200.0
506758188,2024-02-12 16:09:35,3751.683,131.0,80.916664,756.783264,0.87,,,,,,230.0,,,Frizider,0.65,200.0
506758163,2024-02-12 16:09:33,3751.682,131.0,80.916664,756.783264,0.88,,,,,,230.300003,,,Frizider,0.65,201.0
506758138,2024-02-12 16:09:31,3751.682,131.0,80.916664,756.783264,0.88,,,,,,230.300003,,,Frizider,0.65,201.0
506758113,2024-02-12 16:09:29,3751.682,131.0,80.916664,756.783264,0.88,,,,,,230.300003,,,Frizider,0.65,201.0
506758088,2024-02-12 16:09:27,3751.682,133.0,78.699997,756.783264,0.88,,,,,,230.300003,,,Frizider,0.65,203.0
506758063,2024-02-12 16:09:25,3751.682,133.0,78.699997,756.783264,0.88,,,,,,230.300003,,,Frizider,0.65,203.0
506758038,2024-02-12 16:09:23,3751.682,133.0,78.699997,756.783264,0.88,,,,,,230.199997,,,Frizider,0.65,203.0
506758013,2024-02-12 16:09:21,3751.682,133.0,78.699997,756.783264,0.88,,,,,,230.199997,,,Frizider,0.65,203.0
506757988,2024-02-12 16:09:19,3751.682,133.0,78.699997,756.783264,0.87,,,,,,230.100006,,,Frizider,0.65,203.0
506757963,2024-02-12 16:09:17,3751.682,133.0,76.483337,756.783264,0.87,,,,,,230.100006,,,Frizider,0.65,203.0
506757938,2024-02-12 16:09:15,3751.682,133.0,76.483337,756.783264,0.87,,,,,,230.100006,,,Frizider,0.65,203.0
506757913,2024-02-12 16:09:13,3751.682,131.0,76.483337,756.783264,0.87,,,,,,230.100006,,,Frizider,0.65,200.0
506757888,2024-02-12 16:09:11,3751.682,131.0,76.483337,756.783264,0.87,,,,,,230.100006,,,Frizider,0.65,200.0
506757863,2024-02-12 16:09:08,3751.682,131.0,76.483337,756.783264,0.87,,,,,,230.199997,,,Frizider,0.65,201.0
506757838,2024-02-12 16:09:06,3751.682,131.0,74.300003,756.783264,0.87,,,,,,230.199997,,,Frizider,0.65,201.0
506757813,2024-02-12 16:09:04,3751.682,131.0,74.300003,756.783264,0.87,,,,,,230.199997,,,Frizider,0.65,201.0
506757788,2024-02-12 16:09:02,3751.68,131.0,74.300003,756.783264,0.87,,,,,,230.199997,,,Frizider,0.65,205.0
506757763,2024-02-12 16:09:00,3751.68,131.0,74.300003,756.783264,0.87,,,,,,230.199997,,,Frizider,0.65,205.0
506757738,2024-02-12 16:08:58,3751.68,131.0,74.300003,756.783264,0.87,,,,,,230.300003,,,Frizider,0.65,200.0
506757713,2024-02-12 16:08:56,3751.68,131.0,72.116669,756.783264,0.87,,,,,,230.300003,,,Frizider,0.65,200.0
506757688,2024-02-12 16:08:54,3751.68,132.0,72.116669,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,201.0
506757663,2024-02-12 16:08:52,3751.68,132.0,72.116669,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,201.0
506757638,2024-02-12 16:08:50,3751.68,132.0,72.116669,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,201.0
506757613,2024-02-12 16:08:48,3751.68,132.0,72.116669,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,201.0
506757588,2024-02-12 16:08:46,3751.68,132.0,69.916672,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,201.0
506757563,2024-02-12 16:08:44,3751.68,132.0,69.916672,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,200.0
506757538,2024-02-12 16:08:41,3751.68,132.0,69.916672,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,200.0
506757513,2024-02-12 16:08:39,3751.68,132.0,69.916672,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,200.0
506757488,2024-02-12 16:08:37,3751.68,131.0,69.916672,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,201.0
506757463,2024-02-12 16:08:35,3751.68,131.0,67.73333,756.783264,0.87,,,,,,230.399994,,,Frizider,0.65,201.0
506757438,2024-02-12 16:08:33,3751.679,131.0,67.73333,756.783264,0.87,,,,,,230.300003,,,Frizider,0.65,201.0
506757413,2024-02-12 16:08:31,3751.679,131.0,67.73333,756.783264,0.87,,,,,,230.300003,,,Frizider,0.65,201.0
506757388,2024-02-12 16:08:29,3751.679,131.0,67.73333,756.783264,0.87,,,,,,230.300003,,,Frizider,0.65,201.0
506757363,2024-02-12 16:08:27,3751.679,131.0,67.73333,756.783264,0.87,,,,,,230.300003,,,Frizider,0.65,199.0
506757338,2024-02-12 16:08:25,3751.679,131.0,65.550003,756.783264,0.87,,,,,,230.300003,,,Frizider,0.65,199.0
506757313,2024-02-12 16:08:23,3751.679,,65.550003,756.783264,,,,,,,,,,Frizider,,
506757288,2024-02-12 16:08:21,3751.679,,65.550003,756.783264,,,,,,,,,,Frizider,,
506757263,2024-02-12 16:08:19,3751.679,,65.550003,756.783264,,,,,,,,,,Frizider,,
506757238,2024-02-12 16:08:17,3751.679,131.0,65.550003,756.783264,0.87,,,,,,230.699997,,,Frizider,0.65,202.0
506757213,2024-02-12 16:08:15,3751.679,131.0,63.366665,756.783264,0.87,,,,,,230.699997,,,Frizider,0.65,202.0
