id,time,energy,total_active_power,demand_total_active_power,maximum_demand_total_active_power,i1,i2,i3,u12,u23,u13,v1,v2,v3,device,total_power_factor,total_apparent_power
506758471,2024-02-12 16:09:58,394.836,72.0,72.616669,74.299973,0.35,,,,,,231.5,,,Led rasvjeta,0.89,76.0
506758446,2024-02-12 16:09:56,394.836,72.0,72.616669,74.299973,0.34,,,,,,231.100006,,,Led rasvjeta,0.92,84.0
506758421,2024-02-12 16:09:54,394.836,72.0,72.616669,74.299973,0.34,,,,,,231.100006,,,Led rasvjeta,0.92,84.0
506758396,2024-02-12 16:09:51,394.836,72.0,72.616669,74.299973,0.34,,,,,,231.199997,,,Led rasvjeta,0.9,80.0
506758371,2024-02-12 16:09:49,394.836,72.0,72.616669,74.299973,0.34,,,,,,231.199997,,,Led rasvjeta,0.9,80.0
506758346,2024-02-12 16:09:47,394.836,72.0,72.633331,74.299973,0.34,,,,,,231.199997,,,Led rasvjeta,0.9,80.0
506758321,2024-02-12 16:09:45,394.836,73.0,72.633331,74.299973,0.33,,,,,,231.199997,,,Led rasvjeta,0.91,77.0
506758296,2024-02-12 16:09:43,394.836,73.0,72.633331,74.299973,0.33,,,,,,231.199997,,,Led rasvjeta,0.91,77.0
506758271,2024-02-12 16:09:41,394.836,73.0,72.633331,74.299973,0.34,,,,,,231.300003,,,Led rasvjeta,0.91,81.0
506758246,2024-02-12 16:09:39,394.836,73.0,72.633331,74.299973,0.34,,,,,,231.300003,,,Led rasvjeta,0.91,81.0
506758221,2024-02-12 16:09:37,394.836,72.0,72.633331,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.93,78.0
506758196,2024-02-12 16:09:35,394.836,72.0,72.633331,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.93,78.0
506758171,2024-02-12 16:09:33,394.836,72.0,72.633331,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.93,78.0
506758146,2024-02-12 16:09:31,394.836,72.0,72.633331,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.93,77.0
506758121,2024-02-12 16:09:29,394.836,72.0,72.633331,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.93,77.0
506758096,2024-02-12 16:09:27,394.836,73.0,72.616669,74.299973,0.34,,,,,,231.300003,,,Led rasvjeta,0.91,77.0
506758071,2024-02-12 16:09:25,394.836,73.0,72.616669,74.299973,0.34,,,,,,231.300003,,,Led rasvjeta,0.91,77.0
506758046,2024-02-12 16:09:23,394.836,73.0,72.616669,74.299973,0.34,,,,,,231.300003,,,Led rasvjeta,0.91,77.0
506758021,2024-02-12 16:09:21,394.836,73.0,72.616669,74.299973,0.33,,,,,,231.399994,,,Led rasvjeta,0.93,76.0
506757996,2024-02-12 16:09:19,394.836,73.0,72.616669,74.299973,0.33,,,,,,231.399994,,,Led rasvjeta,0.93,76.0
506757971,2024-02-12 16:09:17,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.9,76.0
506757946,2024-02-12 16:09:15,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.9,76.0
506757921,2024-02-12 16:09:13,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.300003,,,Led rasvjeta,0.9,76.0
506757896,2024-02-12 16:09:11,394.835,72.0,72.616669,74.299973,0.34,,,,,,231.100006,,,Led rasvjeta,0.9,77.0
506757871,2024-02-12 16:09:08,394.835,72.0,72.616669,74.299973,0.34,,,,,,231.100006,,,Led rasvjeta,0.9,77.0
506757846,2024-02-12 16:09:06,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.93,80.0
506757821,2024-02-12 16:09:04,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.93,80.0
506757796,2024-02-12 16:09:02,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.93,77.0
506757771,2024-02-12 16:09:00,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.93,77.0
506757746,2024-02-12 16:08:58,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.93,77.0
506757721,2024-02-12 16:08:56,394.835,73.0,72.599998,74.299973,0.34,,,,,,231.899994,,,Led rasvjeta,0.9,77.0
506757696,2024-02-12 16:08:54,394.835,73.0,72.599998,74.299973,0.34,,,,,,231.899994,,,Led rasvjeta,0.9,77.0
506757671,2024-02-12 16:08:52,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.94,79.0
506757646,2024-02-12 16:08:50,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.94,79.0
506757621,2024-02-12 16:08:48,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.94,79.0
506757596,2024-02-12 16:08:46,394.835,72.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.92,77.0
506757571,2024-02-12 16:08:44,394.835,72.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.92,77.0
506757546,2024-02-12 16:08:41,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.92,76.0
506757521,2024-02-12 16:08:39,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.92,76.0
506757496,2024-02-12 16:08:37,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.899994,,,Led rasvjeta,0.92,76.0
506757471,2024-02-12 16:08:35,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.800003,,,Led rasvjeta,0.92,79.0
506757446,2024-02-12 16:08:33,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.800003,,,Led rasvjeta,0.92,79.0
506757421,2024-02-12 16:08:31,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.93,78.0
506757396,2024-02-12 16:08:29,394.835,72.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.93,78.0
506757371,2024-02-12 16:08:27,394.835,73.0,72.616669,74.299973,0.33,,,,,,231.699997,,,Led rasvjeta,0.92,79.0
506757346,2024-02-12 16:08:25,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.5,,,Led rasvjeta,0.92,79.0
506757321,2024-02-12 16:08:23,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.5,,,Led rasvjeta,0.92,79.0
506757296,2024-02-12 16:08:21,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.5,,,Led rasvjeta,0.92,78.0
506757271,2024-02-12 16:08:19,394.835,73.0,72.599998,74.299973,0.33,,,,,,231.5,,,Led rasvjeta,0.92,78.0
506757246,2024-02-12 16:08:17,394.834,72.0,72.599998,74.299973,0.33,,,,,,231.600006,,,Led rasvjeta,0.93,79.0
506757221,2024-02-12 16:08:15,394.834,72.0,72.599998,74.299973,0.33,,,,,,231.600006,,,Led rasvjeta,0.93,79.0
506757196,2024-02-12 16:08:13,394.834,72.0,72.599998,74.299973,0.33,,,,,,231.600006,,,Led rasvjeta,0.93,79.0
506757171,2024-02-12 16:08:11,394.834,73.0,72.599998,74.299973,0.33,,,,,,231.5,,,Led rasvjeta,0.93,77.0
