id,time,energy,total_active_power,demand_total_active_power,maximum_demand_total_active_power,i1,i2,i3,u12,u23,u13,v1,v2,v3,device,total_power_factor,total_apparent_power
506758468,2024-02-12 16:09:58,1654.583,14.0,1046.883301,2004.416992,0.09,,,,,,232.300003,,,Perilica posuda,0.61,28.0
506758443,2024-02-12 16:09:56,1654.583,14.0,1046.883301,2004.416992,0.1,,,,,,232.5,,,Perilica posuda,0.59,23.0
506758418,2024-02-12 16:09:54,1654.583,14.0,1046.883301,2004.416992,0.1,,,,,,232.5,,,Perilica posuda,0.59,23.0
506758393,2024-02-12 16:09:51,1654.583,14.0,1046.883301,2004.416992,0.11,,,,,,232.600006,,,Perilica posuda,0.54,25.0
506758368,2024-02-12 16:09:49,1654.583,14.0,1046.883301,2004.416992,0.11,,,,,,232.600006,,,Perilica posuda,0.54,25.0
506758343,2024-02-12 16:09:47,1654.583,14.0,1079.200073,2004.416992,0.13,,,,,,232.399994,,,Perilica posuda,0.44,32.0
506758318,2024-02-12 16:09:45,1654.583,14.0,1079.200073,2004.416992,0.13,,,,,,232.399994,,,Perilica posuda,0.44,32.0
506758293,2024-02-12 16:09:43,1654.583,14.0,1079.200073,2004.416992,0.13,,,,,,232.399994,,,Perilica posuda,0.44,32.0
506758268,2024-02-12 16:09:41,1654.583,14.0,1079.200073,2004.416992,0.11,,,,,,232.399994,,,Perilica posuda,0.51,31.0
506758243,2024-02-12 16:09:39,1654.583,14.0,1079.200073,2004.416992,0.11,,,,,,232.399994,,,Perilica posuda,0.51,31.0
506758218,2024-02-12 16:09:37,1654.583,13.0,1111.466675,2004.416992,0.08,,,,,,232.5,,,Perilica posuda,0.53,27.0
506758193,2024-02-12 16:09:35,1654.583,13.0,1111.466675,2004.416992,0.08,,,,,,232.5,,,Perilica posuda,0.53,27.0
506758168,2024-02-12 16:09:33,1654.583,13.0,1111.466675,2004.416992,0.08,,,,,,232.5,,,Perilica posuda,0.53,27.0
506758143,2024-02-12 16:09:31,1654.583,14.0,1111.466675,2004.416992,0.11,,,,,,232.5,,,Perilica posuda,0.53,20.0
506758118,2024-02-12 16:09:29,1654.583,14.0,1111.466675,2004.416992,0.11,,,,,,232.5,,,Perilica posuda,0.53,20.0
506758093,2024-02-12 16:09:27,1654.583,13.0,1143.716553,2004.416992,0.11,,,,,,232.399994,,,Perilica posuda,0.53,31.0
506758068,2024-02-12 16:09:25,1654.583,13.0,1143.716553,2004.416992,0.11,,,,,,232.399994,,,Perilica posuda,0.53,31.0
506758043,2024-02-12 16:09:23,1654.583,13.0,1143.716553,2004.416992,0.11,,,,,,232.399994,,,Perilica posuda,0.53,31.0
506758018,2024-02-12 16:09:21,1654.583,14.0,1143.716553,2004.416992,0.09,,,,,,232.399994,,,Perilica posuda,0.61,21.0
506757993,2024-02-12 16:09:19,1654.583,14.0,1143.716553,2004.416992,0.09,,,,,,232.399994,,,Perilica posuda,0.61,21.0
506757968,2024-02-12 16:09:17,1654.583,13.0,1143.716553,2004.416992,0.13,,,,,,232.399994,,,Perilica posuda,0.43,22.0
506757943,2024-02-12 16:09:15,1654.583,13.0,1175.616577,2004.416992,0.13,,,,,,232.399994,,,Perilica posuda,0.43,22.0
506757918,2024-02-12 16:09:13,1654.583,14.0,1175.616577,2004.416992,0.18,,,,,,232.300003,,,Perilica posuda,0.57,31.0
506757893,2024-02-12 16:09:11,1654.583,14.0,1175.616577,2004.416992,0.18,,,,,,232.300003,,,Perilica posuda,0.57,31.0
506757868,2024-02-12 16:09:08,1654.583,14.0,1175.616577,2004.416992,0.18,,,,,,232.300003,,,Perilica posuda,0.57,31.0
506757843,2024-02-12 16:09:06,1654.582,35.0,1207.116577,2004.416992,0.27,,,,,,232.100006,,,Perilica posuda,0.56,63.0
506757818,2024-02-12 16:09:04,1654.582,35.0,1207.116577,2004.416992,0.27,,,,,,232.100006,,,Perilica posuda,0.56,63.0
506757793,2024-02-12 16:09:02,1654.582,34.0,1207.116577,2004.416992,0.27,,,,,,232.100006,,,Perilica posuda,0.56,61.0
506757768,2024-02-12 16:09:00,1654.582,34.0,1207.116577,2004.416992,0.27,,,,,,232.100006,,,Perilica posuda,0.56,61.0
506757743,2024-02-12 16:08:58,1654.582,34.0,1207.116577,2004.416992,0.27,,,,,,232.100006,,,Perilica posuda,0.56,61.0
506757718,2024-02-12 16:08:56,1654.582,43.0,1238.866699,2004.416992,0.19,,,,,,232.100006,,,Perilica posuda,0.45,75.0
506757693,2024-02-12 16:08:54,1654.582,43.0,1238.866699,2004.416992,0.19,,,,,,232.100006,,,Perilica posuda,0.45,75.0
506757668,2024-02-12 16:08:52,1654.582,19.0,1238.866699,2004.416992,0.19,,,,,,232.199997,,,Perilica posuda,0.43,45.0
506757643,2024-02-12 16:08:50,1654.582,19.0,1238.866699,2004.416992,0.19,,,,,,232.199997,,,Perilica posuda,0.43,45.0
506757618,2024-02-12 16:08:48,1654.582,19.0,1238.866699,2004.416992,0.19,,,,,,232.199997,,,Perilica posuda,0.43,45.0
506757593,2024-02-12 16:08:46,1654.582,19.0,1271.016602,2004.416992,0.19,,,,,,232.199997,,,Perilica posuda,0.43,45.0
506757568,2024-02-12 16:08:44,1654.582,19.0,1271.016602,2004.416992,0.19,,,,,,232.199997,,,Perilica posuda,0.43,45.0
506757543,2024-02-12 16:08:41,1654.582,21.0,1271.016602,2004.416992,0.2,,,,,,232.199997,,,Perilica posuda,0.45,47.0
506757518,2024-02-12 16:08:39,1654.582,21.0,1271.016602,2004.416992,0.2,,,,,,232.199997,,,Perilica posuda,0.45,47.0
506757493,2024-02-12 16:08:37,1654.582,26.0,1271.016602,2004.416992,0.21,,,,,,232.100006,,,Perilica posuda,0.59,47.0
506757468,2024-02-12 16:08:35,1654.582,26.0,1303.016602,2004.416992,0.21,,,,,,232.100006,,,Perilica posuda,0.59,47.0
506757443,2024-02-12 16:08:33,1654.582,26.0,1303.016602,2004.416992,0.21,,,,,,232.100006,,,Perilica posuda,0.59,47.0
506757418,2024-02-12 16:08:31,1654.582,24.0,1303.016602,2004.416992,0.38,,,,,,232.100006,,,Perilica posuda,0.59,46.0
506757393,2024-02-12 16:08:29,1654.582,24.0,1303.016602,2004.416992,0.38,,,,,,232.100006,,,Perilica posuda,0.59,46.0
506757368,2024-02-12 16:08:27,1654.582,57.0,1303.016602,2004.416992,0.44,,,,,,231.899994,,,Perilica posuda,0.62,90.0
506757343,2024-02-12 16:08:25,1654.582,57.0,1334.56665,2004.416992,0.44,,,,,,231.899994,,,Perilica posuda,0.62,90.0
506757318,2024-02-12 16:08:23,1654.582,57.0,1334.56665,2004.416992,0.44,,,,,,231.899994,,,Perilica posuda,0.62,90.0
506757293,2024-02-12 16:08:21,1654.582,64.0,1334.56665,2004.416992,0.56,,,,,,232.100006,,,Perilica posuda,0.56,100.0
