id,time,energy,total_active_power,demand_total_active_power,maximum_demand_total_active_power,i1,i2,i3,u12,u23,u13,v1,v2,v3,device,total_power_factor,total_apparent_power
506758470,2024-02-12 16:09:58,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506758445,2024-02-12 16:09:56,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506758420,2024-02-12 16:09:54,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506758395,2024-02-12 16:09:51,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506758370,2024-02-12 16:09:49,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506758345,2024-02-12 16:09:47,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506758320,2024-02-12 16:09:45,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506758295,2024-02-12 16:09:43,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506758270,2024-02-12 16:09:41,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506758245,2024-02-12 16:09:39,31.593,0.0,0.0,2136.75,0.0,,,,,,230.0,,,Susilica rublja,,0.0
506758220,2024-02-12 16:09:37,31.593,0.0,0.0,2136.75,0.0,,,,,,230.0,,,Susilica rublja,,0.0
506758195,2024-02-12 16:09:35,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506758170,2024-02-12 16:09:33,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506758145,2024-02-12 16:09:31,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506758120,2024-02-12 16:09:29,31.593,0.0,0.0,2136.75,0.0,,,,,,230.300003,,,Susilica rublja,,0.0
506758095,2024-02-12 16:09:27,31.593,0.0,0.0,2136.75,0.0,,,,,,230.300003,,,Susilica rublja,,0.0
506758070,2024-02-12 16:09:25,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506758045,2024-02-12 16:09:23,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506758020,2024-02-12 16:09:21,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757995,2024-02-12 16:09:19,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757970,2024-02-12 16:09:17,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757945,2024-02-12 16:09:15,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757920,2024-02-12 16:09:13,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757895,2024-02-12 16:09:11,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757870,2024-02-12 16:09:08,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757845,2024-02-12 16:09:06,31.593,0.0,0.0,2136.75,0.0,,,,,,230.199997,,,Susilica rublja,,0.0
506757820,2024-02-12 16:09:04,31.593,0.0,0.0,2136.75,0.0,,,,,,230.100006,,,Susilica rublja,,0.0
506757795,2024-02-12 16:09:02,31.593,0.0,0.0,2136.75,0.0,,,,,,230.100006,,,Susilica rublja,,0.0
506757770,2024-02-12 16:09:00,31.593,0.0,0.0,2136.75,0.0,,,,,,230.300003,,,Susilica rublja,,0.0
506757745,2024-02-12 16:08:58,31.593,0.0,0.0,2136.75,0.0,,,,,,230.300003,,,Susilica rublja,,0.0
506757720,2024-02-12 16:08:56,31.593,0.0,0.0,2136.75,0.0,,,,,,230.300003,,,Susilica rublja,,0.0
506757695,2024-02-12 16:08:54,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757670,2024-02-12 16:08:52,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757645,2024-02-12 16:08:50,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506757620,2024-02-12 16:08:48,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506757595,2024-02-12 16:08:46,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506757570,2024-02-12 16:08:44,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506757545,2024-02-12 16:08:41,31.593,0.0,0.0,2136.75,0.0,,,,,,230.5,,,Susilica rublja,,0.0
506757520,2024-02-12 16:08:39,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757495,2024-02-12 16:08:37,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757470,2024-02-12 16:08:35,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757445,2024-02-12 16:08:33,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757420,2024-02-12 16:08:31,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757395,2024-02-12 16:08:29,31.593,0.0,0.0,2136.75,0.0,,,,,,230.300003,,,Susilica rublja,,0.0
506757370,2024-02-12 16:08:27,31.593,0.0,0.0,2136.75,0.0,,,,,,230.300003,,,Susilica rublja,,0.0
506757345,2024-02-12 16:08:25,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757320,2024-02-12 16:08:23,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757295,2024-02-12 16:08:21,31.593,0.0,0.0,2136.75,0.0,,,,,,230.399994,,,Susilica rublja,,0.0
506757270,2024-02-12 16:08:19,31.593,0.0,0.0,2136.75,0.0,,,,,,230.699997,,,Susilica rublja,,0.0
