id,time,energy,total_active_power,demand_total_active_power,maximum_demand_total_active_power,i1,i2,i3,u12,u23,u13,v1,v2,v3,device,total_power_factor,total_apparent_power
506758473,2024-02-12 16:09:58,11.049,0.0,0.0,598.799988,0.0,,,,,,230.800003,,,Uticnica,,0.0
506758448,2024-02-12 16:09:56,11.049,0.0,0.0,598.799988,0.0,,,,,,230.800003,,,Uticnica,,0.0
506758423,2024-02-12 16:09:54,11.049,0.0,0.0,598.799988,0.0,,,,,,230.800003,,,Uticnica,,0.0
506758398,2024-02-12 16:09:51,11.049,0.0,0.0,598.799988,0.0,,,,,,230.899994,,,Uticnica,,0.0
506758373,2024-02-12 16:09:49,11.049,0.0,0.0,598.799988,0.0,,,,,,230.899994,,,Uticnica,,0.0
506758348,2024-02-12 16:09:47,11.049,0.0,0.0,598.799988,0.0,,,,,,230.899994,,,Uticnica,,0.0
506758323,2024-02-12 16:09:45,11.049,0.0,0.0,598.799988,0.0,,,,,,230.899994,,,Uticnica,,0.0
506758298,2024-02-12 16:09:43,11.049,0.0,0.0,598.799988,0.0,,,,,,230.899994,,,Uticnica,,0.0
506758273,2024-02-12 16:09:41,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758248,2024-02-12 16:09:39,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758223,2024-02-12 16:09:37,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758198,2024-02-12 16:09:35,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758173,2024-02-12 16:09:33,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758148,2024-02-12 16:09:31,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758123,2024-02-12 16:09:29,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758098,2024-02-12 16:09:27,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758073,2024-02-12 16:09:25,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758048,2024-02-12 16:09:23,11.049,0.0,0.0,598.799988,0.0,,,,,,231.0,,,Uticnica,,0.0
506758023,2024-02-12 16:09:21,11.049,0.0,0.0,598.799988,0.0,,,,,,231.100006,,,Uticnica,,0.0
506757998,2024-02-12 16:09:19,11.049,0.0,0.0,598.799988,0.0,,,,,,231.100006,,,Uticnica,,0.0
506757973,2024-02-12 16:09:17,11.049,0.0,0.0,598.799988,0.0,,,,,,231.100006,,,Uticnica,,0.0
506757948,2024-02-12 16:09:15,11.049,0.0,0.0,598.799988,0.0,,,,,,231.100006,,,Uticnica,,0.0
506757923,2024-02-12 16:09:13,11.049,0.0,0.0,598.799988,0.0,,,,,,230.800003,,,Uticnica,,0.0
506757898,2024-02-12 16:09:11,11.049,0.0,0.0,598.799988,0.0,,,,,,230.800003,,,Uticnica,,0.0
